movie_title;release_month;release_year;genre;total_gross;inflation_adjusted_gross
Snow White and the Seven Dwarfs;December;1937;Musical;184925485;5228953251
Fantasia;November;1940;Musical;83320000;2187090808
Pinocchio;February;1940;Adventure;84300000;2188229052
Song of the South;November;1946;Adventure;65000000;1078510579
Cinderella;February;1950;Drama;85000000;920608730
20000 Leagues Under the Sea;December;1954;Adventure;28200000;528279994
Lady and the Tramp;June;1955;Drama;93600000;1236035515
Sleeping Beauty;January ;1959;Drama;9464608;21505832
Babes in Toyland;December;1961;Musical;10218316;124841160
101 Dalmatians;January ;1961;Comedy;153000000;1362870985
The Absent Minded Professor;March;1961;Comedy;25381407;310094574
Bon Voyage!;May;1962;Comedy;9230769;109581646
The Sword in the Stone;December;1963;Adventure;22182353;153870834
The Jungle Book;October;1967;Musical;141843000;789612346
Blackbeard's Ghost;February;1968;Comedy;21540050;138612686
The Boatniks;July;1970;Comedy;18607492;101200742
The Aristocats;April;1970;Musical;55675257;255161499
Bedknobs and Broomsticks;October;1971;Musical;17871174;91305448
The Apple Dumpling Gang;July;1975;Comedy;31916500;131246872
The Many Adventures of Winnie the Pooh;March;1977;;;
Freaky Friday;January ;1977;Comedy;25942000;98067733
Herbie Goes to Monte Carlo;June;1977;;28000000;105847527
The Rescuers;June;1977;Adventure;48775599;159743914
The Black Hole;December;1979;;35841901;120377374
The Last Flight of Noah’s Ark;June;1980;;11000000;34472116
Midnight Madness;February;1980;;2900000;9088096
Amy;March;1981;Drama;;
Condorman;August;1981;Action;;
The Devil and Max Devlin;January ;1981;;16000000;48517980
The Fox and the Hound;July;1981;Comedy;43899231;133118889
Tron;July;1982;Action;26918576;77184895
Night Crossing;February;1982;Drama;4500000;12903059
Tex;November;1982;Drama;7199408;20643199
Running Brave;November;1983;Drama;1204595;3223725
Never Cry Wolf;October;1983;Drama;27668764;70669955
Trenchcoat;March;1983;Comedy;4304286;11519089
Something Wicked This Way Comes;April;1983;Horror;5656087;15136765
Splash;March;1984;Comedy;62599495;157057661
Country;September;1984;Drama;8400000;21075000
Return to Oz;June;1985;Adventure;10618813;25215934
One Magic Christmas;November;1985;Drama;13229514;31415432
Baby: Secret of the Lost Legend;March;1985;Adventure;14276095;33900697
The Black Cauldron;July;1985;Adventure;21288692;50553142
My Science Project;August;1985;Comedy;4100000;9736051
The Journey of Natty Gann;September;1985;Drama;9468512;22302956
Flight of the Navigator;July;1986;Adventure;18564613;42183197
Tough Guys;October;1986;Comedy;21458229;48758184
The Great Mouse Detective;July;1986;Adventure;23605534;53637367
Off Beat;April;1986;Comedy;4842778;11003932
The Color of Money;October;1986;Drama;52293000;117957323
Down and Out in Beverly Hills;January ;1986;Comedy;62134225;141183693
Ruthless People;June;1986;Comedy;71624879;162748712
Good Morning Vietnam;December;1987;Comedy;123922370;254414837
Benji the Hunted;June;1987;Adventure;15212539;32798382
3 Men and a Baby;November;1987;Comedy;167780960;353334607
Hello Again;November;1987;Comedy;20419446;44024529
Ernest Goes to Camp;May;1987;Comedy;23509382;50686462
Tin Men;March;1987;Comedy;25411386;54787202
Can't Buy Me Love;August;1987;Romantic Comedy;31623833;68181300
Adventures in Babysitting;July;1987;Comedy;33790923;72853569
Outrageous Fortune;January ;1987;Comedy;52864741;113976921
Stakeout;August;1987;Comedy;65673233;141592160
D.O.A.;March;1988;Thriller/Suspense;12706478;26062188
Return to Snowy River;April;1988;Adventure;13687027;28073384
Who Framed Roger Rabbit?;June;1988;Comedy;154112492;316250084
Ernest Saves Christmas;November;1988;Comedy;28202109;57845202
Shoot to Kill;February;1988;Action;29300000;60097074
The Good Mother;November;1988;Drama;4764606;9772655
Big Business;June;1988;Comedy;40150487;82352451
Oliver & Company;November;1988;Adventure;49576671;102254492
Heartbreak Hotel;September;1988;Comedy;5509417;11300331
The Rescue;August;1988;Action;5855392;12009960
Beaches;December;1988;Drama;57041866;120381757
Cocktail;July;1988;Drama;78222753;160442289
New York Stories;March;1989;Drama;10763469;22740861
Gross Anatomy;October;1989;Drama;11346186;23972012
